hora,nova_cabeceira,antiga_cabeceira,aero
1654092843000,32,03,FL
1654109470000,18,12,RF
1654110745000,16,13,CF
1654110758000,15,26,GL
1654110777000,15,26,GL
1654112774000,21,32,FL
1654113020000,32,21,FL
1654113022000,16,13,CF
1654113542000,17,10,SV
1654113548000,16,13,CF
1654113801000,10,17,SV
1654114186000,17,10,SV
1654114407000,14,32,FL
1654114538000,16,13,CF
1654117218000,15,21,GL
1654118442000,10,17,SV
1654119380000,17,10,SV
1654119856000,15,13,GL
1654119906000,10,17,SV
1654121731000,15,33,KP
1654128060000,17,10,SV
1654128534000,10,17,SV
1654128849000,17,10,SV
1654129558000,10,17,SV
1654131821000,32,14,FL
1654139790000,14,32,FL
1654142301000,18,15,RF
1654154272000,18,09R,RF
1654154506000,09R,18,GR
1654159328000,29,11,PA
1654161875000,02R,20L,RJ
1654162307000,35L,17R,SP
1654043422000,10,17,SV
1654043869000,21,14,FL
1654044589000,14,21,FL
1654056274000,18,15,RF
1654075382000,02R,20L,RJ
1654075845000,02R,08,RJ
1654076864000,15,02R,GL
1654078891000,15,26,GL
1654079398000,32,14,FL
1654079940000,15,21,GL
1654079956000,18,16L,RF
1654081494000,15,21,GL
1654083404000,17,10,SV
1654083583000,15,21,GL
1654085003000,03,32,FL
1654085042000,20L,02R,RJ
1654085604000,10,17,SV
1654085834000,32,03,FL
1654089520000,20L,21,RJ
1654089787000,18,16L,RF
1654089810000,21,32,FL
1654090388000,17,10,SV
1654090593000,10,17,SV
1654090730000,11,15,PA
1654091018000,15,30,GL
1654091163000,18,14,RF
1654091936000,11R,14,BR
1654092602000,03,21,FL
1654164210000,17,10,SV
1654166421000,33,15,CT
1654166939000,10,17,SV
1654167121000,15,08,GL
1654093124000,15,18,KP
1654094061000,03,32,FL
1654176251000,17R,35L,SP
1654094311000,15,21,GL
1654176390000,20L,02R,RJ
1654176907000,17,10,SV
1654094508000,17,14,SV
1654177202000,10,17,SV
1654184426000,17,10,SV
1654094658000,10,17,SV
1654094705000,21,03,FL
1654177904000,33,31,CT
1654095009000,11R,07,BR
1654185207000,10,17,SV
1654185459000,11R,32,BR
1654185485000,15,16,GL
1654178343000,33,15,KP
1654178573000,17,10,SV
1654186158000,27L,09R,GR
1654186460000,35,10,SV
1654095385000,17,10,SV
1654186641000,27L,11,GR
1654186787000,20L,21,RJ
1654186853000,11,29,PA
1654179044000,10,17,SV
1654179163000,34,16,CF
1654179731000,21,14,FL
1654186906000,27R,18,GR
1654186964000,33,19,KP
1654095678000,10,17,SV
1654187006000,10,35,SV
1654187529000,17R,14,SP
1654187867000,33,26,KP
1654180134000,18,12,RF
1654180383000,17,10,SV
1654180488000,14,21,FL
1654095705000,32,17,FL
1654096789000,17R,11R,SP
1654180903000,15,17,GL
1654181036000,33,16,KP
1654181148000,10,17,SV
1654188333000,20L,21,RJ
1654188553000,18,27R,RF
1654188559000,15,21,GL
1654181740000,16,31,CF
1654189027000,14,17R,FL
1654097103000,17,10,SV
1654189157000,34,09,CF
1654098017000,10,17,SV
1654183340000,17,10,SV
1654183399000,02R,20L,RJ
1654190846000,17,10,SV
1654183509000,10,17,SV
1654183527000,20L,02R,RJ
1654191068000,10,17,SV
1654098666000,32,25,FL
1654192253000,15,26,GL
1654183766000,15,33,CT
1654183769000,33,18,KP
1654183788000,33,16,KP
1654099707000,17,10,SV
1654192931000,17,10,SV
1654193175000,10,17,SV
1654099931000,03,32,FL
1654193786000,17,10,SV
1654194057000,20L,23,RJ
1654099971000,09R,12,GR
1654194713000,10,17,SV
1654100271000,33,15,KP
1654100496000,10,17,SV
1654100571000,17,10,SV
1654100712000,10,17,SV
1654195921000,15,33,KP
1654101105000,32,03,FL
1654101744000,18,16L,RF
1654196677000,18,15,RF
1654198023000,14,17L,FL
1654198055000,17R,14,SP
1654199080000,14,25,FL
1654199508000,14,17R,FL
1654199559000,17R,14,SP
1654199627000,10,17,SV
1654199737000,17,10,SV
1654199863000,20L,21,RJ
1654200088000,09R,27R,GR
1654200323000,10,17,SV
1654198096000,14,17R,FL
1654198202000,17,10,SV
1654198443000,17R,14,SP
1654198516000,10,17,SV
1654198665000,14,17R,FL
1654198711000,17R,14,SP
1654198785000,15,21,GL
1654198811000,17,10,SV
1654201492000,17,10,SV
1654201542000,15,12,KP
1654202265000,10,17,SV
1654205568000,15,16,KP
1654207357000,17,10,SV
1654207800000,10,17,SV
1654256763000,17,10,SV
1654257828000,20L,23,RJ
1654209500000,16,34,CF
1654103082000,11,15,PA
1654209698000,15,16,KP
1654210299000,17,10,SV
1654210933000,10,17,SV
1654212328000,17,10,SV
1654214219000,10,17,SV
1654259514000,10,17,SV
1654214764000,17,10,SV
1654214808000,11R,14,BR
1654103596000,17,10,SV
1654215779000,35L,17R,SP
1654215996000,10,17,SV
1654217058000,17,10,SV
1654218270000,29,11,PA
1654219129000,10,17,SV
1654260346000,17,10,SV
1654260657000,10,17,SV
1654261364000,17R,23,SP
1654220297000,02R,20L,RJ
1654103634000,11R,13,BR
1654225558000,17,10,SV
1654226200000,10,17,SV
1654261792000,17,10,SV
1654262251000,10,17,SV
1654262330000,17,10,SV
1654239428000,17,10,SV
1654103816000,10,17,SV
1654242760000,10,17,SV
1654245014000,17,10,SV
1654246746000,10,17,SV
1654246971000,17R,35L,SP
1654262933000,10,17,SV
1654263399000,17,10,SV
1654247619000,20L,02R,RJ
1654263671000,10,17,SV
1654249820000,15,26,GL
1654103822000,16,13,CF
1654249969000,15,26,GL
1654250833000,16,15,CF
1654250909000,15,16,KP
1654264290000,11L,14,BR
1654104097000,11,15,PA
1654251512000,11,29,PA
1654251643000,02R,20L,RJ
1654251719000,21,14,FL
1654251933000,15,17,GL
1654265084000,17,10,SV
1654265134000,21,14,FL
1654252328000,15,08,GL
1654104436000,18,12,RF
1654265556000,11R,06L,BR
1654265940000,10,17,SV
1654254812000,14,21,FL
1654106547000,17,10,SV
1654255400000,20L,02R,RJ
1654267158000,17,10,SV
1654267477000,10,17,SV
1654267624000,29,11,PA
1654267635000,14,21,FL
1654268071000,21,07,FL
1654268743000,21,14,FL
1654106664000,32,11,FL
1654268948000,17,10,SV
1654269082000,14,21,FL
1654107611000,10,17,SV
1654269516000,10,17,SV
1654270264000,15,13,KP
1654270301000,17,10,SV
1654272071000,17,10,SV
1654272611000,10,17,SV
1654108841000,17R,12,SP
1654273035000,17,10,SV
1654273161000,10,17,SV
1654273208000,21,14,FL
1654273772000,02R,20L,RJ
1654273776000,17,10,SV
1654274489000,11,29,PA
1654274956000,10,17,SV
1654275176000,29,11,PA
1654270836000,10,17,SV
1654271566000,15,23,GL
1654271670000,14,23,FL
1654286732000,11L,14,BR
1654286821000,10,17,SV
1654275250000,17,10,SV
1654275436000,10,17,SV
1654275489000,20L,02R,RJ
1654275884000,17,10,SV
1654287224000,17,10,SV
1654287415000,14,21,FL
1654287465000,15,18,KP
1654276047000,10,17,SV
1654287840000,10,17,SV
1654346149000,21,33,FL
1654277166000,14,21,FL
1654278183000,17,10,SV
1654278291000,10,17,SV
1654346313000,20L,02R,RJ
1654290129000,17,10,SV
1654346851000,20L,21,RJ
1654290822000,10,17,SV
